Change Component Footprint: Designator=Sensors Old Footprint=TE_DT13-2P New Footprint=DT132P
Change component parameters: Designator = "Sensors" ("Sensors"); Footprint = "TE_DT13-2P"; UniqueID = "\OARNEBVG" ("\OARNEBVG")
Change component parameters (AddParameter): Name = "Arrow Part Number"; Value = "DT13-2P"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Arrow Price/Stock"; Value = "https://www.arrow.com/en/products/dt13-2p/te-connectivity"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Link"; Value = "https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1-1773962-8&DocType=Data%20Sheet&DocLang=English&PartCntxt=DT13-2P&DocFormat=pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "27.43mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Name"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Part_Number"; Value = "DT13-2P"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Part Number"; Value = "571-DT13-2P"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Price/Stock"; Value = "https://www.mouser.co.uk/ProductDetail/TE-Connectivity-DEUTSCH/DT13-2P?qs=vkMqrgFpRaiZ8Y45n18x4A%3D%3D"; VariantName = "[No Variations]"
